File Name,Idx Repetition,Nb. UFuses,Nb. Configurations,Nb. Valid Conf.
realcase-Sub3.json,6,10,1024,24
realcase-Sub3.json,6,11,2048,15
realcase-Sub3.json,6,12,4096,20
realcase-Sub3.json,6,13,8192,16
realcase-Sub3.json,6,14,16384,30
realcase-Sub3.json,6,15,32768,24
realcase-Sub3.json,6,16,65536,30
realcase-Sub3.json,7,0,1,1
realcase-Sub3.json,7,1,2,1
realcase-Sub3.json,7,2,4,2
realcase-Sub3.json,7,3,8,4
realcase-Sub3.json,7,4,16,6
realcase-Sub3.json,7,5,32,6
realcase-Sub3.json,7,6,64,2
realcase-Sub3.json,7,7,128,6
realcase-Sub3.json,7,8,256,12
realcase-Sub3.json,7,9,512,15
realcase-Sub3.json,7,10,1024,15
realcase-Sub3.json,7,11,2048,12
realcase-Sub3.json,7,12,4096,18
realcase-Sub3.json,7,13,8192,20
realcase-Sub3.json,7,14,16384,30
realcase-Sub3.json,7,15,32768,25
realcase-Sub3.json,7,16,65536,30
realcase-Sub3.json,8,0,1,1
realcase-Sub3.json,8,1,2,2
realcase-Sub3.json,8,2,4,2
realcase-Sub3.json,8,3,8,4
realcase-Sub3.json,8,4,16,2
realcase-Sub3.json,8,5,32,9
realcase-Sub3.json,8,6,64,8
realcase-Sub3.json,8,7,128,12
realcase-Sub3.json,8,8,256,9
realcase-Sub3.json,8,9,512,8
realcase-Sub3.json,8,10,1024,12
realcase-Sub3.json,8,11,2048,15
realcase-Sub3.json,8,12,4096,16
realcase-Sub3.json,8,13,8192,12
realcase-Sub3.json,8,14,16384,25
realcase-Sub3.json,8,15,32768,30
realcase-Sub3.json,8,16,65536,30
realcase-Sub3.json,9,0,1,1
realcase-Sub3.json,9,1,2,2
realcase-Sub3.json,9,2,4,2
realcase-Sub3.json,9,3,8,3
realcase-Sub3.json,9,4,16,2
realcase-Sub3.json,9,5,32,3
realcase-Sub3.json,9,6,64,4
realcase-Sub3.json,9,7,128,8
realcase-Sub3.json,9,8,256,9
realcase-Sub3.json,9,9,512,18
realcase-Sub3.json,9,10,1024,18
realcase-Sub3.json,9,11,2048,12
realcase-Sub3.json,9,12,4096,30
realcase-Sub3.json,9,13,8192,24
realcase-Sub3.json,9,14,16384,24
realcase-Sub3.json,9,15,32768,30
realcase-Sub3.json,9,16,65536,30
indirectPara.json,0,0,1,1
indirectPara.json,0,1,2,2
indirectPara.json,0,2,4,3
indirectPara.json,0,3,8,3
indirectPara.json,0,4,16,4
indirectPara.json,0,5,32,5
indirectPara.json,0,6,64,5
indirectPara.json,0,7,128,6
indirectPara.json,0,8,256,5
indirectPara.json,0,9,512,6
indirectPara.json,0,10,1024,7
indirectPara.json,1,0,1,1
indirectPara.json,1,1,2,2
indirectPara.json,1,2,4,3
indirectPara.json,1,3,8,3
indirectPara.json,1,4,16,4
indirectPara.json,1,5,32,4
indirectPara.json,1,6,64,6
indirectPara.json,1,7,128,5
indirectPara.json,1,8,256,6
indirectPara.json,1,9,512,6
indirectPara.json,1,10,1024,7
indirectPara.json,2,0,1,1
indirectPara.json,2,1,2,2
indirectPara.json,2,2,4,3
indirectPara.json,2,3,8,2
indirectPara.json,2,4,16,3
indirectPara.json,2,5,32,4
indirectPara.json,2,6,64,5
indirectPara.json,2,7,128,5
indirectPara.json,2,8,256,6
indirectPara.json,2,9,512,6
indirectPara.json,2,10,1024,7
indirectPara.json,3,0,1,1
indirectPara.json,3,1,2,1
indirectPara.json,3,2,4,2
indirectPara.json,3,3,8,3
indirectPara.json,3,4,16,3
indirectPara.json,3,5,32,4
indirectPara.json,3,6,64,5
indirectPara.json,3,7,128,5
indirectPara.json,3,8,256,6
indirectPara.json,3,9,512,6
indirectPara.json,3,10,1024,7
indirectPara.json,4,0,1,1
indirectPara.json,4,1,2,2
indirectPara.json,4,2,4,2
indirectPara.json,4,3,8,2
indirectPara.json,4,4,16,3
indirectPara.json,4,5,32,5
indirectPara.json,4,6,64,5
indirectPara.json,4,7,128,6
indirectPara.json,4,8,256,7
indirectPara.json,4,9,512,7
indirectPara.json,4,10,1024,7
indirectPara.json,5,0,1,1
indirectPara.json,5,1,2,1
indirectPara.json,5,2,4,3
indirectPara.json,5,3,8,2
indirectPara.json,5,4,16,4
indirectPara.json,5,5,32,5
indirectPara.json,5,6,64,3
indirectPara.json,5,7,128,4
indirectPara.json,5,8,256,5
indirectPara.json,5,9,512,7
indirectPara.json,5,10,1024,7
indirectPara.json,6,0,1,1
indirectPara.json,6,1,2,1
indirectPara.json,6,2,4,1
indirectPara.json,6,3,8,1
indirectPara.json,6,4,16,4
indirectPara.json,6,5,32,4
indirectPara.json,6,6,64,5
indirectPara.json,6,7,128,7
indirectPara.json,6,8,256,7
indirectPara.json,6,9,512,6
indirectPara.json,6,10,1024,7
indirectPara.json,7,0,1,1
indirectPara.json,7,1,2,1
indirectPara.json,7,2,4,2
indirectPara.json,7,3,8,3
indirectPara.json,7,4,16,4
indirectPara.json,7,5,32,3
indirectPara.json,7,6,64,5
indirectPara.json,7,7,128,6
indirectPara.json,7,8,256,6
indirectPara.json,7,9,512,6
indirectPara.json,7,10,1024,7
indirectPara.json,8,0,1,1
indirectPara.json,8,1,2,1
indirectPara.json,8,2,4,2
indirectPara.json,8,3,8,2
indirectPara.json,8,4,16,3
indirectPara.json,8,5,32,5
indirectPara.json,8,6,64,4
indirectPara.json,8,7,128,4
indirectPara.json,8,8,256,6
indirectPara.json,8,9,512,6
indirectPara.json,8,10,1024,7
indirectPara.json,9,0,1,1
indirectPara.json,9,1,2,1
indirectPara.json,9,2,4,2
indirectPara.json,9,3,8,2
indirectPara.json,9,4,16,4
indirectPara.json,9,5,32,5
indirectPara.json,9,6,64,5
indirectPara.json,9,7,128,5
indirectPara.json,9,8,256,6
indirectPara.json,9,9,512,6
indirectPara.json,9,10,1024,7
realcase-Sub1.json,0,0,1,1
realcase-Sub1.json,0,1,2,1
realcase-Sub1.json,0,2,4,2
realcase-Sub1.json,0,3,8,2
