File Name,Idx Repetition,Nb. UFuses,Nb. Fuses,Nb. Configurations,Nb. Valid Conf.
realcase-Sub1.json,13,16,30,65536,27
realcase-Sub1.json,13,17,30,131072,90
realcase-Sub1.json,13,18,30,262144,96
realcase-Sub1.json,13,19,30,524288,120
realcase-Sub1.json,13,20,30,1048576,144
realcase-Sub1.json,13,21,30,2097152,288
realcase-Sub1.json,13,22,30,4194304,360
realcase-Sub1.json,13,23,30,8388608,300
realcase-Sub1.json,13,24,30,16777216,600
realcase-Sub1.json,13,25,30,33554432,432
realcase-Sub1.json,13,26,30,67108864,540
realcase-Sub1.json,13,27,30,134217728,720
realcase-Sub1.json,13,28,30,268435456,576
realcase-Sub1.json,13,29,30,536870912,900
realcase-Sub1.json,13,30,30,1073741824,1080
realcase-Sub1.json,14,0,30,1,1
realcase-Sub1.json,14,1,30,2,2
realcase-Sub1.json,14,2,30,4,2
realcase-Sub1.json,14,3,30,8,4
realcase-Sub1.json,14,4,30,16,8
realcase-Sub1.json,14,5,30,32,4
realcase-Sub1.json,14,6,30,64,12
realcase-Sub1.json,14,7,30,128,12
realcase-Sub1.json,14,8,30,256,12
realcase-Sub1.json,14,9,30,512,24
realcase-Sub1.json,14,10,30,1024,36
realcase-Sub1.json,14,11,30,2048,72
realcase-Sub1.json,14,12,30,4096,12
realcase-Sub1.json,14,13,30,8192,72
realcase-Sub1.json,14,14,30,16384,54
realcase-Sub1.json,14,15,30,32768,96
realcase-Sub1.json,14,16,30,65536,36
realcase-Sub1.json,14,17,30,131072,108
realcase-Sub1.json,14,18,30,262144,576
realcase-Sub1.json,14,19,30,524288,480
realcase-Sub1.json,14,20,30,1048576,96
realcase-Sub1.json,14,21,30,2097152,288
realcase-Sub1.json,14,22,30,4194304,400
realcase-Sub1.json,14,23,30,8388608,180
realcase-Sub1.json,14,24,30,16777216,540
realcase-Sub1.json,14,25,30,33554432,600
realcase-Sub1.json,14,26,30,67108864,540
realcase-Sub1.json,14,27,30,134217728,576
realcase-Sub1.json,14,28,30,268435456,900
realcase-Sub1.json,14,29,30,536870912,900
realcase-Sub1.json,14,30,30,1073741824,1080
realcase-Sub1.json,15,0,30,1,1
realcase-Sub1.json,15,1,30,2,1
realcase-Sub1.json,15,2,30,4,3
realcase-Sub1.json,15,3,30,8,8
realcase-Sub1.json,15,4,30,16,4
realcase-Sub1.json,15,5,30,32,4
realcase-Sub1.json,15,6,30,64,8
realcase-Sub1.json,15,7,30,128,12
realcase-Sub1.json,15,8,30,256,18
realcase-Sub1.json,15,9,30,512,80
realcase-Sub1.json,15,10,30,1024,16
realcase-Sub1.json,15,11,30,2048,24
realcase-Sub1.json,15,12,30,4096,45
realcase-Sub1.json,15,13,30,8192,135
realcase-Sub1.json,15,14,30,16384,16
realcase-Sub1.json,15,15,30,32768,144
realcase-Sub1.json,15,16,30,65536,64
realcase-Sub1.json,15,17,30,131072,192
realcase-Sub1.json,15,18,30,262144,144
realcase-Sub1.json,15,19,30,524288,162
realcase-Sub1.json,15,20,30,1048576,144
realcase-Sub1.json,15,21,30,2097152,300
realcase-Sub1.json,15,22,30,4194304,320
realcase-Sub1.json,15,23,30,8388608,270
realcase-Sub1.json,15,24,30,16777216,300
realcase-Sub1.json,15,25,30,33554432,480
realcase-Sub1.json,15,26,30,67108864,576
realcase-Sub1.json,15,27,30,134217728,900
realcase-Sub1.json,15,28,30,268435456,720
realcase-Sub1.json,15,29,30,536870912,1080
realcase-Sub1.json,15,30,30,1073741824,1080
realcase-Sub1.json,16,0,30,1,1
realcase-Sub1.json,16,1,30,2,1
realcase-Sub1.json,16,2,30,4,2
realcase-Sub1.json,16,3,30,8,1
realcase-Sub1.json,16,4,30,16,2
realcase-Sub1.json,16,5,30,32,4
realcase-Sub1.json,16,6,30,64,2
realcase-Sub1.json,16,7,30,128,6
realcase-Sub1.json,16,8,30,256,8
realcase-Sub1.json,16,9,30,512,16
realcase-Sub1.json,16,10,30,1024,36
realcase-Sub1.json,16,11,30,2048,54
realcase-Sub1.json,16,12,30,4096,15
realcase-Sub1.json,16,13,30,8192,32
realcase-Sub1.json,16,14,30,16384,32
realcase-Sub1.json,16,15,30,32768,60
realcase-Sub1.json,16,16,30,65536,90
realcase-Sub1.json,16,17,30,131072,144
realcase-Sub1.json,16,18,30,262144,90
realcase-Sub1.json,16,19,30,524288,144
realcase-Sub1.json,16,20,30,1048576,250
realcase-Sub1.json,16,21,30,2097152,450
realcase-Sub1.json,16,22,30,4194304,360
realcase-Sub1.json,16,23,30,8388608,400
realcase-Sub1.json,16,24,30,16777216,500
realcase-Sub1.json,16,25,30,33554432,400
realcase-Sub1.json,16,26,30,67108864,400
realcase-Sub1.json,16,27,30,134217728,432
realcase-Sub1.json,16,28,30,268435456,1080
realcase-Sub1.json,16,29,30,536870912,1080
realcase-Sub1.json,16,30,30,1073741824,1080
realcase-Sub1.json,17,0,30,1,1
realcase-Sub1.json,17,1,30,2,1
realcase-Sub1.json,17,2,30,4,1
realcase-Sub1.json,17,3,30,8,2
realcase-Sub1.json,17,4,30,16,4
realcase-Sub1.json,17,5,30,32,4
realcase-Sub1.json,17,6,30,64,2
realcase-Sub1.json,17,7,30,128,12
realcase-Sub1.json,17,8,30,256,18
realcase-Sub1.json,17,9,30,512,12
realcase-Sub1.json,17,10,30,1024,32
realcase-Sub1.json,17,11,30,2048,16
realcase-Sub1.json,17,12,30,4096,24
realcase-Sub1.json,17,13,30,8192,60
realcase-Sub1.json,17,14,30,16384,96
realcase-Sub1.json,17,15,30,32768,96
realcase-Sub1.json,17,16,30,65536,60
realcase-Sub1.json,17,17,30,131072,120
realcase-Sub1.json,17,18,30,262144,240
realcase-Sub1.json,17,19,30,524288,256
realcase-Sub1.json,17,20,30,1048576,135
realcase-Sub1.json,17,21,30,2097152,320
realcase-Sub1.json,17,22,30,4194304,216
realcase-Sub1.json,17,23,30,8388608,200
realcase-Sub1.json,17,24,30,16777216,540
realcase-Sub1.json,17,25,30,33554432,288
realcase-Sub1.json,17,26,30,67108864,600
realcase-Sub1.json,17,27,30,134217728,900
realcase-Sub1.json,17,28,30,268435456,600
realcase-Sub1.json,17,29,30,536870912,720
realcase-Sub1.json,17,30,30,1073741824,1080
realcase-Sub1.json,18,0,30,1,1
realcase-Sub1.json,18,1,30,2,1
realcase-Sub1.json,18,2,30,4,2
realcase-Sub1.json,18,3,30,8,2
realcase-Sub1.json,18,4,30,16,16
realcase-Sub1.json,18,5,30,32,2
realcase-Sub1.json,18,6,30,64,16
realcase-Sub1.json,18,7,30,128,32
realcase-Sub1.json,18,8,30,256,12
realcase-Sub1.json,18,9,30,512,32
realcase-Sub1.json,18,10,30,1024,75
realcase-Sub1.json,18,11,30,2048,24
realcase-Sub1.json,18,12,30,4096,12
realcase-Sub1.json,18,13,30,8192,36
realcase-Sub1.json,18,14,30,16384,108
realcase-Sub1.json,18,15,30,32768,72
realcase-Sub1.json,18,16,30,65536,180
realcase-Sub1.json,18,17,30,131072,30
realcase-Sub1.json,18,18,30,262144,162
realcase-Sub1.json,18,19,30,524288,150
realcase-Sub1.json,18,20,30,1048576,300
realcase-Sub1.json,18,21,30,2097152,432
realcase-Sub1.json,18,22,30,4194304,192
realcase-Sub1.json,18,23,30,8388608,600
realcase-Sub1.json,18,24,30,16777216,256
realcase-Sub1.json,18,25,30,33554432,432
realcase-Sub1.json,18,26,30,67108864,360
realcase-Sub1.json,18,27,30,134217728,480
realcase-Sub1.json,18,28,30,268435456,720
realcase-Sub1.json,18,29,30,536870912,720
realcase-Sub1.json,18,30,30,1073741824,1080
realcase-Sub1.json,19,0,30,1,1
realcase-Sub1.json,19,1,30,2,1
realcase-Sub1.json,19,2,30,4,2
realcase-Sub1.json,19,3,30,8,8
realcase-Sub1.json,19,4,30,16,2
realcase-Sub1.json,19,5,30,32,16
realcase-Sub1.json,19,6,30,64,24
realcase-Sub1.json,19,7,30,128,12
realcase-Sub1.json,19,8,30,256,24
realcase-Sub1.json,19,9,30,512,16
realcase-Sub1.json,19,10,30,1024,96
realcase-Sub1.json,19,11,30,2048,18
realcase-Sub1.json,19,12,30,4096,20
realcase-Sub1.json,19,13,30,8192,36
realcase-Sub1.json,19,14,30,16384,60
realcase-Sub1.json,19,15,30,32768,128
realcase-Sub1.json,19,16,30,65536,240
realcase-Sub1.json,19,17,30,131072,216
realcase-Sub1.json,19,18,30,262144,72
realcase-Sub1.json,19,19,30,524288,120
realcase-Sub1.json,19,20,30,1048576,300
realcase-Sub1.json,19,21,30,2097152,108
realcase-Sub1.json,19,22,30,4194304,216
realcase-Sub1.json,19,23,30,8388608,360
realcase-Sub1.json,19,24,30,16777216,320
realcase-Sub1.json,19,25,30,33554432,480
realcase-Sub1.json,19,26,30,67108864,576
realcase-Sub1.json,19,27,30,134217728,900
realcase-Sub1.json,19,28,30,268435456,1080
realcase-Sub1.json,19,29,30,536870912,900
realcase-Sub1.json,19,30,30,1073741824,1080
realcase-Sub1.json,20,0,30,1,1
realcase-Sub1.json,20,1,30,2,1
realcase-Sub1.json,20,2,30,4,4
